Nom,Année de naissance ,Année de premiere election,Groupe,Circonscription,Série,genre
Philippe Leroy,1940,2001,UMP,Moselle,1,M
Michel Le Scouarnec,1949,2011,CRC,Morbihan,1,M
Valérie Létard,1962,2001,UDI-UC,Nord,1,F
Marie-Noëlle Lienemann,1951,2011,SOC,Paris,1,F
Anne-Catherine Loisier,1969,2014,ratt. UDI-UC,Côte-d'Or,2,F
Jean-François Longeot,1956,2014,UDI-UC,Doubs,2,M
Gérard Longuet,1946,2001,UMP,Meuse,1,M
Vivette Lopez,1954,2014,UMP,Gard,2,F
Jeanny Lorgeoux,1950,2011,SOC,Loir-et-Cher,1,F
Jean-Jacques Lozach,1954,2008,SOC,Creuse,2,M
Jean-Claude Luche,1952,2014,UDI-UC,Aveyron,2,M
Roger Madec,1950,2004,SOC,Paris,1,M
Philippe Madrelle,1937,1980,SOC,Gironde,2,M
Jacques-Bernard Magner,1952,2011,SOC,Puy-de-Dôme,1,M
Michel Magras,1954,2008,UMP,Saint-Barthélemy,2,M
Hermeline Malherbe,1969,2014,RDSE,Pyrénées-Orientales,1,F
Claude Malhuret,1950,2014,UMP,Allier,2,M
Christian Manable,1948,2014,SOC,Somme,2,M
Didier Mandelli,1964,2014,UMP,Vendée,2,M
François Marc,1950,1998,SOC,Finistère,2,M
Alain Marc,1957,2014,ratt. UMP,Aveyron,2,M
Didier Marie,1960,2014,SOC,Seine-Maritime,2,M
Hervé Marseille,1954,2011,UDI-UC,Hauts-de-Seine,1,M
Patrick Masclet,1952,2011,UMP,Nord,1,M
Jean-Pierre Masseret,1944,1983,SOC,Moselle,1,M
Jean-Louis Masson,1947,2001,RASNAG,Moselle,1,M
Hervé Maurey,1961,2008,UDI-UC,Eure,2,M
Jean-François Mayet,1940,2008,UMP,Indre,2,M
Rachel Mazuir,1940,2008,SOC,Ain,2,M
Pierre Médevielle,1960,2014,UDI-UC,Haute-Garonne,2,M
Colette Mélot,1947,2004,UMP,Seine-et-Marne,1,F
